time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
88,6.954545454545454,4,-2.640279840909091,612,133,0.4605938692887624,0.05544374821086725,0.001,508,,
92,7.1521739130434785,4,-2.5856692717391305,658,132,0.48416388630867,0.049418048933148384,0.001,554,,
96,7.0625,5,-2.4515344999999997,678,131,0.3738621473312378,0.06235892006329128,0.001,577,,
100,6.96,5,-2.3190055,696,131,0.4218483716249466,0.06020485423505306,0.001,595,,
104,7.05,5,-1.94682273,735,133,0.40274622440338137,0.06469562649726868,0.001,618,,
108,7.22,5,-1.7395609500000004,774,133,0.36644333600997925,0.060476898401975634,0.001,660,,
112,7.5,6,-1.6075630600000002,820,131,0.39286333322525024,0.0518460888415575,0.001,712,,
116,7.49,6,-1.3355192100000002,840,130,0.373515248298645,0.06224463731050491,0.001,739,,
120,7.61,6,-1.08534117,878,130,0.3858310409954616,0.0581279955804348,0.001,776,,
124,7.64,6,-1.02899068,900,131,0.36515504121780396,0.06226277071982622,0.001,794,,
128,7.67,7,-0.91131221,932,131,0.37345168987909955,0.07117419391870498,0.001,824,,
132,7.6,7,-0.7287380900000001,954,130,0.3963271528482437,0.06539444401860237,0.001,849,,
136,7.48,7,-0.7060056800000002,983,130,0.4294568747282028,0.06120714731514454,0.001,880,,
140,7.48,7,-0.6896466800000002,1006,130,0.45314215620358783,0.0638554443915685,0.001,905,,
144,7.53,7,-0.6229948900000001,1033,129,0.3865308662255605,0.0729352816939354,0.001,932,,
148,7.47,8,-0.5723728899999999,1061,129,0.3443342248598735,0.06646771516118731,0.001,959,,
152,7.82,8,-0.6247307699999999,1129,130,0.3701041638851166,0.08043419818083446,0.001,1012,,
156,7.93,9,-0.6614880500000001,1167,129,0.3667938560247421,0.08648422360420227,0.001,1055,,
160,7.89,9,-0.59584719,1202,128,0.4102590024471283,0.10294508785009385,0.001,1095,,
164,7.86,9,-0.55791969,1232,128,0.3756951292355855,0.0977634385228157,0.001,1130,,
168,7.87,9,-0.6028031399999999,1262,128,0.4989000499248505,0.07676208838820457,0.001,1161,,
172,7.91,10,-0.53952687,1295,128,0.5710942149162292,0.08813597112894059,0.001,1193,,
176,8.13,10,-0.36392737000000003,1340,127,0.42227908968925476,0.09603272378444672,0.001,1237,,
180,8.23,10,-0.39662185999999994,1380,127,0.4148758004109065,0.08166729441533487,0.001,1272,,
184,8.27,11,-0.3318413099999998,1409,127,0.4557025233904521,0.07951653301715851,0.001,1308,,
188,8.26,11,-0.3125120299999999,1438,127,0.371439849336942,0.09655628229180972,0.001,1326,,
192,8.21,11,-0.2586340599999999,1479,126,0.41010595858097076,0.0982666403055191,0.001,1375,,
196,8.47,12,-0.2604452299999999,1525,126,0.42406391104062396,0.09132983478216025,0.001,1421,,
200,8.57,12,-0.24594159999999987,1553,125,0.4121698886156082,0.089892358652183,0.001,1452,,
204,8.41,12,-0.28716996999999994,1576,125,0.4571921428044637,0.10631415247917175,0.001,1475,,
208,8.28,12,-0.20006635999999994,1602,125,0.4571736454963684,0.09916079257215772,0.001,1501,,
212,8.04,12,-0.07546882999999995,1624,125,0.3914116521676381,0.10639718795816104,0.001,1523,,
216,8.13,13,-0.10862542999999994,1653,125,0.4156333655118942,0.11221320331096649,0.001,1549,,
220,8.14,13,0.0630552,1692,125,0.43195514380931854,0.08421236127614976,0.001,1591,,
224,8.12,13,0.11581894000000005,1712,125,0.3289968967437744,0.10942659974098205,0.001,1610,,
228,8.04,13,0.1648177900000001,1736,125,0.14764271676540375,0.11063322424888611,0.001,1629,,
232,8.21,14,0.19810109000000004,1775,125,0.3488352820277214,0.09413920236485344,0.001,1664,,
236,8.19,14,0.2578186600000001,1802,124,0.47852709144353867,0.09772626476155387,0.001,1699,,
240,8.35,14,0.22624979000000012,1841,123,0.45640430226922035,0.12625919049605727,0.001,1739,,
244,8.29,15,0.24621074,1862,122,0.3603561520576477,0.09477698653936387,0.001,1760,,
248,8.34,15,0.21828375,1895,122,0.34027452766895294,0.11915686130523681,0.001,1789,,
252,7.83,15,0.37361061999999995,1912,122,0.40867920219898224,0.14028414711356163,0.001,1810,,
256,7.72,15,0.44540732999999993,1939,122,0.5139390627543131,0.11601149439811706,0.001,1838,,
260,7.68,16,0.5025660399999999,1970,121,0.544339582324028,0.11415957566350698,0.001,1866,,
264,7.66,16,0.58406994,1998,121,0.4752412637074788,0.12475246439377467,0.001,1892,,
268,7.63,16,0.63592182,2025,121,0.5641385912895203,0.12681811675429344,0.001,1919,,
272,7.57,16,0.70985346,2052,121,0.3992019941409429,0.1102863609790802,0.001,1946,,
276,7.49,17,0.58030505,2089,120,0.5373815596103668,0.1124494643881917,0.001,1986,,
280,7.41,17,0.69602575,2121,120,0.5345271602272987,0.10989734716713428,0.001,2019,,
284,7.38,17,0.6903243099999998,2147,120,0.4788331538438797,0.11969223022460937,0.001,2045,,
288,7.28,18,0.7285352999999998,2166,119,0.44879212975502014,0.12449386715888977,0.001,2064,,
292,7.15,18,0.7283540399999999,2194,119,0.3522017076611519,0.12933119833469392,0.001,2087,,
296,7.06,18,0.67837974,2231,119,0.411520779132843,0.18085521459579468,0.001,2123,,
300,7.07,18,0.6462209400000001,2260,119,0.5034051418304444,0.11239233530229992,0.001,2158,,
304,7.22,19,0.6522744399999999,2298,119,0.49789807498455046,0.13445648476481437,0.001,2196,,
308,7.2,19,0.6799160900000001,2322,119,0.547960489988327,0.11575084924697876,0.001,2216,,
312,7.27,19,0.6384317399999998,2351,119,0.3566731611887614,0.11852281043926875,0.001,2245,,
316,7.22,19,0.6611487299999999,2375,119,0.6614857316017151,0.11115541011095047,0.001,2272,,
320,7.14,20,0.50186177,2406,119,0.41651437679926556,0.1384918141094121,0.001,2304,,
324,7.15,20,0.50085878,2427,119,0.5225160618623098,0.12604495882987976,0.001,2326,,
328,7.3,20,0.55012359,2466,119,0.5155941446622213,0.15162707652364457,0.001,2353,,
332,7.21,20,0.53119269,2496,119,0.5472230017185211,0.14754173904657364,0.001,2384,,
336,7.36,21,0.6369276500000001,2538,119,0.5608157515525818,0.22285841405391693,0.001,2425,,
340,7.2,21,0.69478681,2561,119,0.3873557299375534,0.15614771246910095,0.001,2459,,
344,7.3,21,0.6937036900000001,2592,120,0.5876574218273163,0.2273142158985138,0.001,2481,,
348,7.29,21,0.8005480099999999,2624,120,0.4631870786348979,0.18051541528918527,0.001,2518,,
352,7.44,22,0.8232515699999999,2656,119,0.5093403110901514,0.15751277858560736,0.001,2554,,
356,7.49,22,0.8386774699999999,2688,119,0.4717250317335129,0.1603494497636954,0.001,2586,,
360,7.36,22,0.8958927100000001,2706,119,0.5294718146324158,0.186347596347332,0.001,2604,,
364,7.37,22,0.8820176200000001,2735,119,0.42875950038433075,0.1572289764881134,0.001,2631,,
368,7.37,23,0.8989313099999999,2762,119,0.48160625497500104,0.14966944456100464,0.001,2660,,
372,7.38,23,0.89427732,2790,119,0.6701671083768209,0.16535288095474243,0.001,2688,,
