rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
7.5,4,-7.83082325,0,30,687,,,,,,,,
7.5,8,-9.073099500000001,0,60,748,,,,,,,,
6.833333333333333,12,-7.959854,0,82,765,,,,,,,,
6.5625,16,-7.6070163125,0,105,229,-4.452040672302246,0.0003,-0.015341118909418583,0.9991004467010498,4,22.200298309326172,,
6.8,20,-8.2103514,0,136,152,-12.39254379272461,0.0003,-0.2072662115097046,0.9895673990249634,35,12.111398696899414,,
6.625,24,-7.786178500000001,1,159,136,-12.971046447753906,0.0003,-0.35134756565093994,0.9825154542922974,58,11.981669425964355,,
6.714285714285714,28,-8.055154214285714,1,188,124,-13.02552318572998,0.0003,-0.5301060676574707,0.9737607836723328,87,15.522588729858398,,
6.625,32,-7.98840459375,1,212,115,-13.282760620117188,0.0003,-0.6743786334991455,0.9666186571121216,111,15.463939666748047,,
6.861111111111111,36,-8.108348027777778,2,247,107,-14.009099006652832,0.0003,-0.8973885178565979,0.956341028213501,146,14.451323509216309,,
6.825,40,-8.02681085,2,273,103,-14.223464012145996,0.0003,-1.0513930320739746,0.9488024711608887,172,11.671586990356445,,
6.659090909090909,44,-7.78825856818182,2,293,99,-14.679438591003418,0.0003,-1.1685585975646973,0.943057656288147,192,6.79680061340332,,
6.854166666666667,48,-8.017031083333334,3,329,96,-15.307853698730469,0.0003,-1.387723684310913,0.9328305125236511,228,3.9424498081207275,,
7.0576923076923075,52,-8.06208473076923,3,367,94,-16.651691436767578,0.0003,-1.6188932657241821,0.922186017036438,266,3.172344207763672,,
6.982142857142857,56,-7.880858553571429,4,391,93,-16.907726287841797,0.0003,-1.763239860534668,0.9155338406562805,290,2.698899745941162,,
6.95,60,-7.9056763000000005,4,417,92,-16.94280242919922,0.0003,-1.9210095405578613,0.9083783030509949,316,3.155322551727295,,
6.953125,64,-7.944256734374999,4,445,92,-17.166393280029297,0.0003,-2.0863566398620605,0.9007410407066345,344,2.9342660903930664,,
7.029411764705882,68,-7.982822176470588,5,478,93,-17.916969299316406,0.0003,-2.2830088138580322,0.8918423056602478,377,2.0129270553588867,,
6.958333333333333,72,-7.837390097222222,5,501,93,-18.091632843017578,0.0003,-2.4152188301086426,0.8857070207595825,400,3.0380420684814453,,
6.881578947368421,76,-7.7308476052631585,5,523,92,-17.973392486572266,0.0003,-2.542160749435425,0.8798802495002747,422,2.512244701385498,,
6.8875,80,-7.716845587500001,6,551,91,-17.989103317260742,0.0003,-2.6954421997070312,0.8725210428237915,450,2.7761216163635254,,
6.809523809523809,84,-7.595320809523811,6,572,91,-17.706737518310547,0.0003,-2.8313000202178955,0.8670449256896973,471,1.8976657390594482,,
6.818181818181818,88,-7.450637636363638,6,600,90,-17.88229751586914,0.0003,-2.994202136993408,0.8597996830940247,499,4.500951766967773,,
6.858695652173913,92,-7.330867489130435,6,631,90,-17.736820220947266,0.0003,-3.1649444103240967,0.8518677949905396,530,2.927600383758545,,
6.895833333333333,96,-7.22396634375,7,662,91,-17.99593734741211,0.0003,-3.327638626098633,0.8440244197845459,561,3.2293834686279297,,
6.97,100,-7.08866022,7,697,90,-18.16480827331543,0.0003,-3.545517921447754,0.8352891802787781,596,3.107487678527832,,
6.97,104,-6.96907879,7,727,91,-18.52613067626953,0.0003,-3.708559036254883,0.8278914093971252,626,2.5064094066619873,,
6.95,108,-6.692317749999998,8,755,91,-19.100444793701172,0.0003,-3.8254330158233643,0.8210499882698059,654,4.360323905944824,,
7.21,112,-6.848511599999999,8,803,90,-19.215312957763672,0.0003,-4.151212692260742,0.8094647526741028,702,2.637411594390869,,
7.25,116,-6.77525468,9,830,91,-18.61180877685547,0.0003,-4.283841133117676,0.8030115962028503,729,3.6321117877960205,,
7.28,120,-6.580000399999999,9,864,91,-19.36037826538086,0.0003,-4.459386825561523,0.7949726581573486,763,4.008535385131836,,
