time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,8.5,-8.54016475,0,34,640,,,,,,,,
8,8.375,-9.050298,0,67,679,,,,,,,,
12,8.083333333333334,-7.844874749999999,0,97,689,,,,,,,,
16,7.9375,-8.507356625,0,127,175,0.0003,-12.481674194335938,-0.15053001046180725,13.813019752502441,0.9923475980758667,26,,
20,8.2,-9.37204885,1,164,149,0.0003,-13.055702209472656,-0.38116151094436646,13.754231452941895,0.9809883832931519,63,,
24,8.125,-9.3017615,1,195,138,0.0003,-13.844205856323242,-0.5751360058784485,13.516162872314453,0.9716612100601196,94,,
28,8.0,-9.409199071428572,1,224,131,0.0003,-13.952996253967285,-0.7518428564071655,16.40171241760254,0.9630632996559143,123,,
32,7.71875,-9.299444999999999,1,247,127,0.0003,-14.401185989379883,-0.8977694511413574,13.849056243896484,0.9563227891921997,146,,
36,8.194444444444445,-9.747863027777777,2,295,121,0.0003,-14.921558380126953,-1.1867961883544922,8.7470703125,0.9424661993980408,194,,
40,8.05,-9.546452024999999,2,322,118,0.0003,-15.860108375549316,-1.3508344888687134,6.07144021987915,0.9347964525222778,221,,
44,8.068181818181818,-9.360384181818183,3,355,116,0.0003,-16.156381607055664,-1.5414936542510986,4.693098068237305,0.9255360960960388,254,,
48,8.229166666666666,-9.3801661875,3,395,114,0.0003,-17.116046905517578,-1.780199408531189,3.320173740386963,0.9144707322120667,294,,
52,8.173076923076923,-9.307655153846154,3,425,109,0.0003,-17.455291748046875,-1.9609278440475464,4.289921760559082,0.9062570929527283,324,,
56,8.767857142857142,-9.271625160714285,4,491,103,0.0003,-18.215396881103516,-2.352400302886963,2.6243276596069336,0.8884490132331848,390,,
60,8.683333333333334,-9.0860389,5,521,102,0.0003,-18.503305435180664,-2.507262706756592,2.280942440032959,0.8804824948310852,420,,
64,8.625,-9.048262296875,5,552,100,0.0003,-18.68935203552246,-2.701268434524536,3.0467944145202637,0.8723403811454773,451,,
68,8.794117647058824,-8.840794808823532,6,598,98,0.0003,-18.956684112548828,-2.962477922439575,2.6193175315856934,0.8604016304016113,497,,
72,8.666666666666666,-8.720551861111112,6,624,97,0.0003,-19.35230255126953,-3.122922897338867,3.0983309745788574,0.8537546992301941,523,,
76,8.907894736842104,-8.608637973684212,7,677,96,0.0003,-19.83559226989746,-3.404442548751831,3.7418859004974365,0.8404123187065125,576,,
80,9.0125,-8.57852785,7,721,95,0.0003,-21.03962516784668,-3.6554765701293945,2.3118796348571777,0.8295528292655945,620,,
84,9.023809523809524,-8.504539202380952,7,758,94,0.0003,-20.516307830810547,-3.813974380493164,3.2207460403442383,0.8205502033233643,657,,
88,9.181818181818182,-8.202897465909091,8,808,94,0.0003,-21.102142333984375,-4.020114898681641,3.9694645404815674,0.8085846304893494,707,,
92,9.358695652173912,-8.22495893478261,9,861,93,0.0003,-21.860836029052734,-4.348768711090088,5.131860256195068,0.7961751222610474,760,,
96,9.333333333333334,-8.198550604166668,9,896,93,0.0003,-20.394655227661133,-4.480419158935547,4.137186050415039,0.7880983352661133,795,,
100,9.22,-8.07936085,9,922,92,0.0003,-21.50379753112793,-4.673727989196777,4.523207187652588,0.7821387052536011,821,,
104,9.45,-8.09136127,10,979,91,0.0003,-21.591693878173828,-4.927338600158691,4.239799499511719,0.7692111730575562,878,,
108,9.62,-8.04293809,11,1029,91,0.0003,-22.566333770751953,-5.198824882507324,5.6175994873046875,0.7580887079238892,928,,
112,9.89,-8.16211665,11,1086,91,0.0003,-23.261646270751953,-5.463428497314453,4.366306781768799,0.7456358671188354,985,,
116,10.08,-8.006827509999999,12,1135,91,0.0003,-23.96249771118164,-5.78641414642334,4.8033647537231445,0.7351202368736267,1034,,
120,10.1,-7.72765903,12,1174,91,0.0003,-23.336549758911133,-5.851633071899414,4.173810005187988,0.7268602252006531,1073,,
124,10.15,-7.58414479,13,1210,91,0.0003,-23.100940704345703,-6.121030807495117,4.672055244445801,0.7193405032157898,1109,,
128,10.24,-7.378146419999999,13,1248,91,0.0003,-23.166797637939453,-6.341756343841553,9.15477466583252,0.7115108966827393,1147,,
132,10.8,-7.416146670000001,14,1327,91,0.0003,-22.65264892578125,-6.640904426574707,6.927255153656006,0.6955930590629578,1226,,
136,10.66,-7.04085452,14,1361,91,0.0003,-24.472923278808594,-6.740273475646973,6.024600028991699,0.6888871192932129,1260,,
140,10.92,-7.10263543,15,1414,91,0.0003,-23.493202209472656,-6.976809501647949,6.025559425354004,0.6785821914672852,1313,,
144,11.16,-6.96432332,16,1471,91,0.0003,-22.857454299926758,-7.266170978546143,11.200194358825684,0.6676986813545227,1370,,
148,11.46,-6.913525989999999,16,1541,90,0.0003,-24.978618621826172,-7.55439567565918,9.391271591186523,0.6545050144195557,1440,,
152,11.74,-6.97963935,17,1599,90,0.0003,-24.887662887573242,-7.8926472663879395,7.105808258056641,0.643811047077179,1498,,
156,11.74,-6.98773941,18,1665,90,0.0003,-23.46007537841797,-7.96919059753418,8.564567565917969,0.6319050788879395,1564,,
160,12.09,-7.19094655,19,1730,89,0.0003,-24.976682662963867,-8.358137130737305,8.847050666809082,0.62040114402771,1629,,
164,12.36,-7.231785410000001,20,1788,88,0.0003,-24.716548919677734,-8.456421852111816,10.419121742248535,0.6103487610816956,1687,,
