time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
412,62,68,-6.803429308823531,6,6.0588235294117645,3.4892847537994385,0.0003,-1.8797211647033691,311,-17.084842681884766,0.9098440408706665,,
433,62,72,-6.792334833333332,6,6.013888888888889,2.485220432281494,0.0003,-1.995530128479004,332,-16.59299087524414,0.9041197299957275,,
457,61,76,-6.789584407894735,7,6.0131578947368425,2.2984330654144287,0.0003,-2.143068790435791,356,-17.557758331298828,0.8976260423660278,,
482,61,80,-6.7097844375,7,6.025,2.8226380348205566,0.0003,-2.2811994552612305,381,-16.620529174804688,0.8909159898757935,,
501,61,84,-6.634976488095237,8,5.964285714285714,2.622277021408081,0.0003,-2.40071439743042,400,-17.39847183227539,0.8858511447906494,,
524,60,88,-6.598637852272727,8,5.954545454545454,2.8874289989471436,0.0003,-2.5316672325134277,423,-17.00391387939453,0.8797621130943298,,
552,60,92,-6.598199804347826,9,6.0,2.4727675914764404,0.0003,-2.7006630897521973,451,-17.407390594482422,0.8724138140678406,,
576,59,96,-6.593683927083333,9,6.0,2.345496416091919,0.0003,-2.852108955383301,475,-16.709239959716797,0.8661714196205139,,
595,59,100,-6.50619,10,5.95,3.401409149169922,0.0003,-2.9322400093078613,494,-17.9815731048584,0.8612605929374695,,
617,59,104,-6.42856417,10,5.88,2.3829550743103027,0.0003,-3.09957218170166,516,-18.231678009033203,0.8556174635887146,,
646,58,108,-6.268639049999999,10,5.87,3.3268754482269287,0.0003,-3.2574853897094727,545,-17.603267669677734,0.8482263088226318,,
677,58,112,-6.259144059999999,11,5.99,2.588773250579834,0.0003,-3.44649600982666,576,-18.591609954833984,0.8404112458229065,,
697,58,116,-6.226647379999999,11,6.0,3.511996030807495,0.0003,-3.540426254272461,596,-18.346975326538086,0.8354087471961975,,
