time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
162,8.44,1512,0.20782204000000004,9,184,0.001,0.05715150907635689,1409,0.3282729536294937,,
162,8.34,1536,0.20547422000000004,9,188,0.001,0.05559123158454895,1433,0.2875547707080841,,
161,8.21,1569,0.24471807,9,192,0.001,0.07343142256140708,1467,0.35769879817962646,,
161,8.28,1604,0.42743275,9,196,0.001,0.0541385772327582,1498,0.2935402035713196,,
161,8.34,1631,0.48427741000000013,10,200,0.001,0.051978277415037154,1527,0.29439152777194977,,
161,8.29,1653,0.5277919700000001,10,204,0.001,0.044707827270030975,1549,0.22302188724279404,,
161,8.18,1680,0.62829311,10,208,0.001,0.04857807904481888,1576,0.2572874128818512,,
160,7.98,1703,0.58130528,10,212,0.001,0.048466818407177925,1599,0.2020433098077774,,
160,7.99,1730,0.5439856900000001,10,216,0.001,0.044362573325634,1628,0.2812112867832184,,
160,7.98,1767,0.6290036399999999,10,220,0.001,0.05246082081326416,1663,0.2114309242793492,,
160,8.0,1790,0.5891052299999999,11,224,0.001,0.05869945138692856,1687,0.25235453993082047,,
160,7.92,1813,0.6303053500000001,11,228,0.001,0.06746573969721795,1711,0.2637421637773514,,
160,7.95,1846,0.6862606099999999,11,232,0.001,0.0689816800030795,1742,0.23699494699637094,,
160,7.98,1881,0.69546553,11,236,0.001,0.06785153271630406,1771,0.2344956360757351,,
160,8.03,1915,0.7231023299999998,11,240,0.001,0.06604281174285072,1807,0.199379692475001,,
160,7.9,1936,0.75553599,12,244,0.001,0.055188984920581184,1834,0.2334973563750585,,
160,7.93,1968,0.7411890199999999,12,248,0.001,0.0561532803500692,1865,0.2211480289697647,,
159,7.67,1994,0.8232459999999999,12,252,0.001,0.06131393983960152,1892,0.24575009445349374,,
160,7.57,2024,0.8348591400000003,12,256,0.001,0.06570146046578884,1916,0.21760194003582,,
160,7.44,2053,0.75580167,12,260,0.001,0.0775529866417249,1947,0.26320651670296985,,
159,7.38,2084,0.7241586999999998,13,264,0.001,0.07006476529770428,1978,0.30490437150001526,,
159,7.38,2113,0.7020631199999999,13,268,0.001,0.07819211607178052,2011,0.3098889539639155,,
159,7.35,2142,0.7310329100000001,13,272,0.001,0.0771032378077507,2040,0.2110039790471395,,
159,7.26,2174,0.7120478599999999,13,276,0.001,0.06221745628863573,2072,0.2440305302540461,,
159,7.23,2205,0.7538297799999998,13,280,0.001,0.059003669302910566,2099,0.29241104796528816,,
159,7.2,2232,0.69369404,14,284,0.001,0.060575307036439575,2129,0.3384374678134918,,
159,7.2,2256,0.71302288,14,288,0.001,0.08617136627435684,2154,0.2343048776189486,,
159,7.11,2280,0.6866347200000001,14,292,0.001,0.08384351059794426,2178,0.24575970694422722,,
159,7.08,2312,0.5737840399999999,14,296,0.001,0.07127961474988195,2207,0.23687701672315598,,
159,7.11,2342,0.53661072,14,300,0.001,0.07437422623236974,2240,0.20452183187007905,,
159,7.17,2370,0.6317444200000001,14,304,0.001,0.07153266370296478,2265,0.22840159237384797,,
159,7.16,2396,0.57765085,15,308,0.001,0.06608614325523376,2294,0.22564609348773956,,
159,7.17,2420,0.5853597700000001,15,312,0.001,0.07684275839063856,2318,0.2782656580209732,,
159,7.16,2446,0.63244904,15,316,0.001,0.0819535425731114,2344,0.21523907780647278,,
159,7.07,2474,0.5970129200000001,15,320,0.001,0.08555451408028603,2368,0.23755928874015808,,
159,7.06,2496,0.65021962,15,324,0.001,0.09022477890054385,2394,0.21833731482426325,,
159,7.1,2523,0.67654747,15,328,0.001,0.07433011879523595,2420,0.2756904711325963,,
159,7.05,2551,0.68423138,15,332,0.001,0.08179670292884111,2449,0.14044348523020744,,
160,7.05,2586,0.7725943700000002,16,336,0.001,0.08944119716232474,2482,0.11762318760156631,,
160,7.02,2617,0.86706602,16,340,0.001,0.09705920238047838,2515,0.24488041922450066,,
160,7.03,2639,0.90922452,16,344,0.001,0.07301270589232445,2536,0.26592010259628296,,
160,7.06,2674,1.0146747399999998,16,348,0.001,0.07993929274380207,2566,0.19266092032194138,,
160,7.17,2711,1.15869613,16,352,0.001,0.11467107385396957,2604,0.16695001224676767,,
