rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
0.9653779799999996,132,7.02,21,392,2838,0.10327934846282005,2735,0.539776399731636,0.001,,
1.00738526,132,6.96,21,396,2868,0.11128745121615273,2767,0.512968103090922,0.001,,
1.01350691,133,7.03,21,400,2903,0.13234352171421052,2790,0.46396690607070923,0.001,,
1.0257589900000001,133,6.98,22,404,2934,0.13439124524593354,2821,0.5155078917741776,0.001,,
1.0023764899999998,132,6.99,22,408,2959,0.13771114870905876,2858,0.46953268349170685,0.001,,
1.0343947100000002,132,6.98,22,412,2987,0.11825064445535342,2885,0.5357290903727213,0.001,,
1.07622544,132,6.96,22,416,3010,0.12334690801799297,2909,0.4433775991201401,0.001,,
1.09626679,132,6.98,22,420,3044,0.1071619875729084,2942,0.5664923414587975,0.001,,
1.0901645700000002,132,7.01,23,424,3069,0.1278202898800373,2967,0.5019656360149384,0.001,,
1.0625851,133,6.91,23,428,3098,0.11296528329451878,2992,0.6420803368091583,0.001,,
1.10272671,133,6.96,23,432,3132,0.10783074878984028,3025,0.5850433930754662,0.001,,
1.0719246500000001,133,6.8,23,436,3153,0.13036603666841984,3052,0.5171419531106949,0.001,,
1.11744331,133,6.85,23,440,3180,0.140123850107193,3072,0.6565173467000326,0.001,,
1.10379478,133,6.7,23,444,3198,0.1263953000307083,3097,0.6107070545355479,0.001,,
1.10548521,133,6.55,24,448,3216,0.1314086988568306,3114,0.5461333990097046,0.001,,
1.0826492300000001,133,6.42,24,452,3235,0.11890489161014557,3133,0.5536889135837555,0.001,,
1.1361845099999999,133,6.3,24,456,3254,0.1488323539495468,3152,0.6342150767644247,0.001,,
1.1306528699999998,133,6.63,24,460,3306,0.12422404031861912,3198,0.5136950338880221,0.001,,
1.1462351199999998,133,6.62,24,464,3330,0.1313832402229309,3227,0.5660803616046906,0.001,,
1.1331084799999998,133,6.64,25,468,3356,0.12420084048062563,3253,0.525961123406887,0.001,,
1.1483441399999998,133,6.78,25,472,3395,0.1695333905518055,3285,0.5306229591369629,0.001,,
1.12717012,133,6.81,25,476,3422,0.1528673768043518,3321,0.39913927018642426,0.001,,
1.14408649,133,6.8,25,480,3449,0.1287482872605324,3343,0.5240503549575806,0.001,,
1.15924961,132,6.87,26,484,3481,0.1445743814110756,3375,0.5869094908237458,0.001,,
1.1271993000000002,133,6.95,26,488,3510,0.11753301173448563,3403,0.5278733223676682,0.001,,
1.12057312,132,7.04,26,492,3542,0.14112631380558013,3437,0.4554527848958969,0.001,,
1.10369505,132,6.98,26,496,3566,0.13358871851648604,3464,0.47372087836265564,0.001,,
1.10663593,132,6.88,27,500,3591,0.1414224309000102,3490,0.46861367921034497,0.001,,
1.1738708999999998,133,6.92,27,504,3626,0.12492845505475998,3518,0.4410935342311859,0.001,,
1.17899397,132,6.9,27,508,3649,0.11479302681982517,3548,0.5743810534477234,0.001,,
1.22527069,133,6.85,27,512,3672,0.16170109808444977,3566,0.4886060506105423,0.001,,
1.26632673,133,6.97,27,516,3707,0.11977066770195961,3598,0.4992254674434662,0.001,,
1.32000023,132,6.84,28,520,3728,0.15598032251000404,3622,0.4872424900531769,0.001,,
1.3546603300000002,132,6.77,28,524,3746,0.11187878996133804,3645,0.6637459099292755,0.001,,
1.38661437,132,6.71,28,528,3769,0.1588718205690384,3663,0.4597538113594055,0.001,,
1.4269155099999997,132,6.69,28,532,3801,0.1269804040590922,3700,0.4213460485140483,0.001,,
1.4334398499999998,132,6.81,28,536,3834,0.12057899819179015,3733,0.5361320495605468,0.001,,
1.4462121,133,6.78,29,540,3858,0.13015639334917067,3755,0.38604581356048584,0.001,,
1.4722275000000002,133,6.85,29,544,3883,0.13206608034670353,3775,0.44264669716358185,0.001,,
1.4437466800000005,133,6.98,29,548,3914,0.12533854941527048,3806,0.536461740732193,0.001,,
1.4559822299999998,133,7.09,29,552,3944,0.1455035239458084,3842,0.4135274410247803,0.001,,
1.3976430300000002,133,7.14,29,556,3968,0.1439860574901104,3866,0.43802550435066223,0.001,,
1.4198669700000002,133,6.89,30,560,3995,0.15153264347463846,3893,0.5029289871454239,0.001,,
1.41244067,133,7.04,30,564,4034,0.13058157895620054,3927,0.5155565291643143,0.001,,
1.3858694999999996,133,6.99,30,568,4055,0.18415160104632378,3954,0.327621690928936,0.001,,
1.3672967299999998,133,6.92,30,572,4087,0.142793208360672,3985,0.4805236756801605,0.001,,
1.3279032999999998,133,6.98,30,576,4120,0.17997017289910996,4011,0.43305744727452594,0.001,,
1.3338129600000002,133,7.14,31,580,4163,0.1440137124487332,4051,0.4394207199414571,0.001,,
1.3970614700000001,133,7.17,31,584,4198,0.2454240620136261,4091,0.3892809599637985,0.001,,
1.4307245699999998,133,7.16,31,588,4226,0.14026391133666039,4125,0.31673236191272736,0.001,,
1.4610718,133,7.23,31,592,4265,0.1418795108795166,4157,0.4318673312664032,0.001,,
1.4733782699999998,133,7.35,32,596,4301,0.15922458842396736,4199,0.4304313585162163,0.001,,
1.4860295299999995,133,7.38,32,600,4329,0.14091639114277704,4226,0.4860490933060646,0.001,,
1.4240043299999998,133,7.29,32,604,4355,0.15820442004637283,4252,0.43578605850537616,0.001,,
1.4452421099999995,133,7.37,32,608,4386,0.15089648067951203,4279,0.4434807598590851,0.001,,
1.4526758700000002,133,7.37,33,612,4409,0.14595580659806728,4308,0.3467891216278076,0.001,,
1.3335922699999998,133,7.2,33,616,4427,0.13698165863752365,4324,0.3007404953241348,0.001,,
1.2534749399999998,133,7.23,33,620,4451,0.18158188983798026,4349,0.31712083518505096,0.001,,
1.1824422599999997,133,7.28,33,624,4474,0.13931955993175507,4370,0.4955069422721863,0.001,,
1.05482275,133,7.32,33,628,4501,0.1980714187026024,4397,0.5327679514884949,0.001,,
0.9520263200000001,133,7.28,33,632,4529,0.17016370323571292,4428,0.5611479431390762,0.001,,
0.91527404,133,7.15,34,636,4549,0.15910959243774414,4448,0.55508620540301,0.001,,
0.8353664399999999,133,7.19,34,640,4577,0.1501628577709198,4475,0.5516262203454971,0.001,,
0.8519457500000001,133,7.28,34,644,4611,0.14644606614654715,4505,0.45808315873146055,0.001,,
0.8640857000000001,133,7.14,34,648,4628,0.16933167725801468,4526,0.5295457541942596,0.001,,
0.82648261,133,7.14,34,652,4658,0.16117982864379882,4556,0.4636806309223175,0.001,,
0.86191997,133,7.21,35,656,4689,0.15687670616003183,4583,0.4525400400161743,0.001,,
0.81831381,133,7.29,35,660,4724,0.17961293552070856,4623,0.4348222650587559,0.001,,
0.8254231399999999,133,7.13,35,664,4747,0.17258494198322297,4641,0.3241281509399414,0.001,,
0.8501480600000001,133,7.16,35,668,4771,0.1407832716192518,4665,0.447672704855601,0.001,,
0.8404189,133,7.1,35,672,4797,0.13815587386488914,4691,0.609211266040802,0.001,,
0.8715646100000001,133,6.96,36,676,4816,0.14761071652173996,4714,0.4507588595151901,0.001,,
0.88568723,133,6.78,36,680,4841,0.12811145020855796,4739,0.44656815379858017,0.001,,
0.86778864,133,6.68,36,684,4866,0.1406455785036087,4759,0.3708823323249817,0.001,,
0.91407799,133,6.64,36,688,4890,0.1827465109527111,4788,0.41673964262008667,0.001,,
0.8601874700000002,133,6.49,36,692,4914,0.13887418806552887,4813,0.4824022352695465,0.001,,
0.8420440600000001,133,6.5,37,696,4951,0.15083293803036213,4850,0.4306642562150955,0.001,,
0.8313613899999999,133,6.6,37,700,4989,0.16945688107184,4881,0.3650107185045878,0.001,,
,,,,,5000,0.15375977456569673,4902,0.45894713203112286,0.001,1.646548,6.9
0.83394258,132,6.54,37,704,5009,0.1344347447156906,4906,0.3865062892436981,0.001,,
0.80336949,132,6.46,37,708,5032,0.1922959119081497,4927,0.4874124526977539,0.001,,
0.76998962,132,6.5,38,712,5059,0.14567423931189946,4957,0.44855717817942303,0.001,,
0.9008577099999999,132,6.63,38,716,5090,0.14866725727915764,4987,0.3944041281938553,0.001,,
0.9744915999999999,132,6.62,38,720,5113,0.16254642885178328,5011,0.37244320288300514,0.001,,
1.0711289600000002,132,6.66,38,724,5140,0.17384643480181694,5036,0.37048304080963135,0.001,,
1.17698122,133,6.76,38,728,5177,0.14184951826053507,5071,0.4361450234428048,0.001,,
1.56725045,133,7.23,39,732,5252,0.14402521029114723,5108,0.36376750469207764,0.001,,
1.5866360200000005,133,7.3,39,736,5279,0.15917987003922462,5178,0.3641611456871033,0.001,,
1.59876868,133,7.25,39,740,5302,0.14947611507442263,5200,0.4003113269805908,0.001,,
1.5848342799999997,133,7.09,39,744,5320,0.1324105951935053,5218,0.3768799901008606,0.001,,
1.60346273,133,7.2,40,748,5348,0.13727062940597534,5243,0.4644416272640228,0.001,,
1.6635385100000002,133,7.27,40,752,5385,0.13443108783526855,5281,0.46375017762184145,0.001,,
1.6629286099999998,133,7.15,40,756,5404,0.1355007380247116,5302,0.2942578544219335,0.001,,
1.7229707900000002,133,7.06,40,760,5430,0.1246941015124321,5328,0.35518115758895874,0.001,,
1.79267644,133,7.14,40,764,5461,0.0948970764875412,5359,0.26819296181201935,0.001,,
1.8644773400000003,133,7.18,41,768,5489,0.11487323231995106,5382,0.36837056279182434,0.001,,
1.8845756,133,7.12,41,772,5509,0.11023173779249192,5407,0.3665884882211685,0.001,,
1.85194635,133,7.24,41,776,5540,0.15871475140253702,5436,0.31060559550921124,0.001,,
1.83891805,133,7.18,41,780,5559,0.14548117369413377,5457,0.4301687180995941,0.001,,
1.7984126900000001,133,7.27,41,784,5593,0.14334821850061416,5488,0.38859760761260986,0.001,,
1.75764626,133,7.31,42,788,5621,0.1251686799029509,5520,0.34973984956741333,0.001,,
1.8220627999999999,133,7.49,42,792,5663,0.14681685778001943,5559,0.4178844938675563,0.001,,
1.84682464,133,7.46,42,796,5697,0.1376613862812519,5589,0.3939207121729851,0.001,,
1.88402109,133,7.29,42,800,5718,0.13294015526771547,5613,0.29433804750442505,0.001,,
1.88162591,133,7.32,42,804,5741,0.14432715624570847,5634,0.32633939385414124,0.001,,
1.9181585700000001,133,7.42,43,808,5774,0.1282276213169098,5672,0.4024279160158975,0.001,,
1.9422812799999998,133,7.33,43,812,5792,0.1523194968700409,5691,0.2385777235031128,0.001,,
1.8593869,133,7.23,43,816,5813,0.14382214657962322,5712,0.41850100457668304,0.001,,
1.8585590200000002,133,7.32,43,820,5845,0.12372023090720177,5737,0.25124908089637754,0.001,,
1.8171845,133,7.25,43,824,5865,0.12143400737217494,5763,0.24567982057730356,0.001,,
1.8098155299999998,133,7.2,44,828,5897,0.13355290591716767,5791,0.33828696608543396,0.001,,
1.4278718500000003,133,6.7,44,832,5922,0.15008362233638764,5817,0.34362930059432983,0.001,,
1.4606321400000002,133,6.66,44,836,5945,0.11075376905500889,5843,0.46910057961940765,0.001,,
1.47778803,133,6.7,44,840,5972,0.1538622111082077,5867,0.2920695662498474,0.001,,
1.47379988,133,6.74,44,844,5994,0.11818810850381851,5890,0.25815605123837787,0.001,,
1.46506649,133,6.75,45,848,6023,0.14282840639352798,5921,0.3742586553096771,0.001,,
1.42064329,133,6.57,45,852,6042,0.12605192326009274,5941,0.28866592049598694,0.001,,
1.5009349799999996,133,6.66,45,856,6070,0.12803416848182678,5969,0.43898434937000275,0.001,,
1.4872218100000003,133,6.68,45,860,6098,0.11380998098424502,5997,0.433439416544778,0.001,,
1.4123000300000004,133,6.56,45,864,6117,0.10840874537825584,6014,0.2403108887374401,0.001,,
1.3861861400000004,133,6.52,45,868,6141,0.15725667277971903,6036,0.36297428607940674,0.001,,
1.3866622999999998,133,6.54,46,872,6163,0.1535275936126709,6059,0.13385985791683197,0.001,,
1.4343033500000002,133,6.53,46,876,6193,0.1291923482309688,6092,0.40477893749872845,0.001,,
1.4309200300000002,133,6.54,46,880,6213,0.19198428094387054,6111,0.41217970848083496,0.001,,
1.4301610200000001,133,6.4,46,884,6233,0.12121421694755555,6131,0.2734961584210396,0.001,,
1.4454009100000003,133,6.42,46,888,6263,0.12175808101892471,6158,0.3276306614279747,0.001,,
1.4347390000000002,133,6.28,47,892,6291,0.09568581605950992,6187,0.373915563027064,0.001,,
1.4494263,133,6.17,47,896,6314,0.11945293843746185,6212,0.38803693652153015,0.001,,
1.44163799,133,6.26,47,900,6344,0.11497239883129413,6243,0.1761066901187102,0.001,,
1.4172812299999997,133,6.33,47,904,6374,0.14786903891298506,6273,0.20559871196746826,0.001,,
1.3930661100000001,133,6.19,47,908,6393,0.13295253068208696,6291,0.3044312745332718,0.001,,
1.4271706599999998,133,6.25,48,912,6417,0.11725439131259918,6314,0.09830056689679623,0.001,,
1.4318353800000003,133,6.29,48,916,6442,0.14958462715148926,6336,0.287046213944753,0.001,,
1.4611332399999994,133,6.19,48,920,6464,0.12352930754423141,6362,0.2188018150627613,0.001,,
1.44791324,133,6.27,48,924,6492,0.11973819012443225,6385,0.40047262112299603,0.001,,
1.49028305,133,6.24,48,928,6521,0.12662674486637115,6416,0.28156621754169464,0.001,,
1.5203235600000002,133,6.25,48,932,6547,0.12863634526729584,6443,0.14259075745940208,0.001,,
1.5242761600000003,133,6.25,49,936,6570,0.12982921302318573,6465,0.38207632303237915,0.001,,
1.53387565,133,6.18,49,940,6590,0.15166374891996384,6488,0.06519561509291331,0.001,,
1.52114283,133,6.22,49,944,6616,0.14276706874370576,6509,0.18725155107676983,0.001,,
1.5457285000000005,133,6.16,49,948,6639,0.11456580758094788,6534,0.09263907248775165,0.001,,
1.6277393500000001,133,6.25,49,952,6667,0.08940725326538086,6561,0.5273599177598953,0.001,,
1.5680638000000002,133,6.16,49,956,6686,0.10814164206385612,6585,0.2750829756259918,0.001,,
1.61650243,133,6.14,50,960,6712,0.10544860661029816,6606,0.20504611233870187,0.001,,
1.6279242899999997,133,6.14,50,964,6731,0.14111102744936943,6630,0.24683184176683426,0.001,,
1.5645527799999996,133,6.07,50,968,6748,0.10639856196939945,6646,0.3645070493221283,0.001,,
1.56088572,133,6.13,50,972,6776,0.12902411445975304,6674,0.15053918212652206,0.001,,
1.5361592,133,6.06,50,976,6799,0.12188942283391953,6693,0.23793786019086838,0.001,,
1.5152126399999994,133,6.07,50,980,6820,0.11265646240540914,6719,0.23762831836938858,0.001,,
1.55817328,133,6.11,51,984,6844,0.130975517961714,6742,0.1701504196971655,0.001,,
1.58537783,133,6.19,51,988,6882,0.12168561294674873,6780,0.3429109752178192,0.001,,
1.5825609400000002,133,6.18,51,992,6909,0.13264961540699005,6807,0.3086305633187294,0.001,,
1.5785928600000003,133,6.18,51,996,6932,0.11467971354722976,6831,0.09055574703961611,0.001,,
1.6620473199999999,133,6.25,52,1000,6969,0.1146341934800148,6864,0.2645585685968399,0.001,,
1.68060007,133,6.14,52,1004,6988,0.11488388925790786,6886,0.2437197466691335,0.001,,
1.7173710899999997,133,6.17,52,1008,7010,0.12172652035951614,6906,0.22249083469311395,0.001,,
1.6705300499999998,133,6.18,52,1012,7035,0.10067292302846909,6933,0.32434752583503723,0.001,,
1.7236188700000001,133,6.15,52,1016,7057,0.11071533411741256,6952,0.11610237509012222,0.001,,
1.72638816,133,6.17,52,1020,7081,0.11397840827703476,6976,0.29426353238523006,0.001,,
1.7314695200000003,133,6.1,53,1024,7102,0.11808364987373351,7000,0.20552774767080942,0.001,,
1.67850754,133,5.98,53,1028,7119,0.11728511936962605,7017,0.2700946554541588,0.001,,
1.7064058800000002,133,5.96,53,1032,7143,0.11252632737159729,7039,0.32419125735759735,0.001,,
1.74646041,133,6.07,53,1036,7177,0.0966142447931426,7071,0.16480135545134544,0.001,,
1.7427192800000002,133,6.1,53,1040,7200,0.13218843638896943,7098,0.1394978960355123,0.001,,
1.76037993,133,6.13,53,1044,7229,0.11245065629482269,7123,0.2553570047020912,0.001,,
1.7401846700000005,133,6.09,54,1048,7248,0.10853226482868195,7147,0.41417592763900757,0.001,,
1.7178310900000002,133,6.04,54,1052,7271,0.08659595064818859,7169,0.21511881612241268,0.001,,
1.76528525,133,6.11,54,1056,7297,0.10616625100374222,7193,0.15520988032221794,0.001,,
1.8197641900000001,133,6.13,54,1060,7325,0.11878240704536439,7219,0.3883185815066099,0.001,,
1.8121347500000002,133,6.17,54,1064,7348,0.10976870208978654,7244,0.18557908137639365,0.001,,
1.8353822,133,6.22,55,1068,7370,0.13103846460580826,7269,0.2096177414059639,0.001,,
1.83237615,133,6.12,55,1072,7388,0.11099633388221264,7287,0.12317989114671946,0.001,,
1.89539093,133,6.13,55,1076,7412,0.10879195295274258,7307,0.21185126155614853,0.001,,
1.9649900000000002,133,6.22,55,1080,7442,0.10327718513352531,7336,-0.008896462619304657,0.001,,
1.9157598400000004,133,6.21,55,1084,7465,0.10630874956647555,7363,0.31775425871213275,0.001,,
1.8879609300000002,133,6.04,55,1088,7486,0.11830466347081321,7384,0.10556784924119711,0.001,,
1.8671659800000002,133,5.97,56,1092,7506,0.1130193571249644,7404,0.18389345208803812,0.001,,
1.8578910100000001,133,5.99,56,1096,7531,0.13066436629742384,7426,0.09895433997735381,0.001,,
1.7544783599999993,133,6.0,56,1100,7569,0.12492765933275223,7467,0.232029989361763,0.001,,
1.72621057,133,6.03,56,1104,7591,0.098926299251616,7490,0.22954148426651955,0.001,,
1.7453869899999999,133,6.1,56,1108,7620,0.12051350343972445,7516,0.11112383217550814,0.001,,
1.7692783100000002,133,6.1,57,1112,7645,0.10439813882112503,7543,0.26191535890102385,0.001,,
1.7475456999999996,133,6.12,57,1116,7669,0.11630862206220627,7564,0.08968586404807866,0.001,,
1.7257165999999995,133,6.13,57,1120,7694,0.1292172633111477,7589,0.2940931022167206,0.001,,
1.74662524,133,6.15,57,1124,7717,0.1051151193678379,7611,0.07578552514314651,0.001,,
1.77008097,133,6.22,57,1128,7741,0.11225698739290238,7639,0.2604534402489662,0.001,,
1.7324564699999998,133,6.2,58,1132,7763,0.09962866774627141,7661,-0.016602779738605022,0.001,,
1.67463104,133,6.05,58,1136,7782,0.10715489685535431,7680,-0.018994897603988647,0.001,,
1.66583777,133,6.08,58,1140,7808,0.1146840469704734,7706,0.18547128289937972,0.001,,
1.68738531,133,6.03,58,1144,7832,0.12469852715730667,7727,0.01780148223042488,0.001,,
1.71245004,133,6.05,58,1148,7853,0.10525399446487427,7752,0.15751921633879343,0.001,,
